FULL NAME,TEAM,POS,Ortg,DRtg
Devon Hall,Okc,G,0,0
Donta Hall,Det,F,104.6,103
Dusty Hannahs,Mem,G,120.4,111
Tim Hardaway Jr.,Dal,G,115.8,109.5
James Harden,Hou,G,120.1,103.3
Maurice Harkless,Lac,F,108.6,99.3
Maurice Harkless,Nyk,F,111.9,105.1
Jared Harper,Pho,G,,
Montrezl Harrell,Lac,F,118.3,101.8
Gary Harris,Den,G,103.3,107.7
Joe Harris,Bro,G,111,106.2
Shaquille Harrison,Chi,G,111.6,101.8
Tobias Harris,Phi,F,111.6,105
Isaiah Hartenstein,Hou,C,127.6,95.2
Josh Hart,Nor,G,110.3,104.6
Udonis Haslem,Mia,F,79.3,92.7
Jaxson Hayes,Nor,C,129.7,100.6
Gordon Hayward,Bos,F,117.6,105.7
John Henson,Cle,F,111.2,101.8
John Henson,Det,F,115.7,101.1
Dewan Hernandez,Tor,C,,
Juancho Hernangomez,Den,F,94.3,106.8
Juancho Hernangomez,Min,F,115.4,106.7
Willy Hernangomez,Cha,C,109.1,103.2
Tyler Herro,Mia,G,100.2,108.7
Kevin Hervey,Okc,F,,
Mario Hezonja,Por,F,101.3,102.8
Buddy Hield,Sac,G,106.7,108
George Hill,Mil,G,132,98.8
Solomon Hill,Mem,F,109.1,106.5
Solomon Hill,Mia,F,78.4,102.2
Jaylen Hoard,Por,F,111.8,103.2
Aaron Holiday,Ind,G,105,105.7
Jrue Holiday,Nor,G,106.9,109.4
Justin Holiday,Ind,F,116,104.4
Rondae Hollis-Jefferson,Tor,F,114.6,97
Richaun Holmes,Sac,F,131.7,99.1
Rodney Hood,Por,G,120.7,111.5
Al Horford,Phi,C,112.8,103.9
Talen Horton-Tucker,Lal,G,0,0
Danuel House Jr.,Hou,F,115.9,107.4
Dwight Howard,Lal,C,125.4,90.2
William Howard,Hou,F,13.9,107.5
Kevin Huerter,Atl,G,107,111.7
De'Andre Hunter,Atl,F,99.7,110.9
Chandler Hutchison,Chi,F,100.9,103.4
Serge Ibaka,Tor,F,108.5,96.8
Andre Iguodala,Mia,G,99.1,102
Ersan Ilyasova,Mil,F,119.3,92.9
Joe Ingles,Uta,F,114.1,105
Brandon Ingram,Nor,F,113,107.1
Kyrie Irving,Bro,G,118.8,103.5
Jonathan Isaac,Orl,F,105.1,101.3
Wes Iwundu,Orl,F,108.6,104.7
Jaren Jackson Jr.,Mem,F,108.9,100.1
Frank Jackson,Nor,G,98.4,108.2
Josh Jackson,Mem,G,101.8,103.7
Justin Jackson,Dal,F,106.6,108.3
Reggie Jackson,Det,G,105.8,112.2
Reggie Jackson,Lac,G,114.6,98.6
Justin James,Sac,G,101.3,108.4
LeBron James,Lal,F,115.9,103.6
Amile Jefferson,Orl,F,93.4,102.7
DaQuan Jeffries,Sac,G,0,0
Ty Jerome,Pho,G,92.3,104.2
Alize Johnson,Ind,F,106.4,99.6
BJ Johnson,Orl,F,69.1,112.9
Cameron Johnson,Pho,F,113.2,108.2
James Johnson,Mia,F,102.8,99.9
James Johnson,Min,F,106.5,99.3
Keldon Johnson,San,F,101.6,113
Stanley Johnson,Tor,F,71.5,96.2
Tyler Johnson,Pho,G,97.7,107.9
Nikola Jokic,Den,C,119.5,100
Derrick Jones Jr.,Mia,F,123.1,102.6
Damian Jones,Atl,C,136.6,101
Tyus Jones,Mem,G,116.8,112.6
DeAndre Jordan,Bro,C,126.8,97.4
Cory Joseph,Sac,G,110.7,108.7
Mfiondu Kabengele,Lac,F,118.8,95.7
Frank Kaminsky,Pho,F,110.9,104.3
Enes Kanter,Bos,C,121.1,96.7
Luke Kennard,Det,G,117.3,110.5
Michael Kidd-Gilchrist,Cha,F,91.1,104.5
Michael Kidd-Gilchrist,Dal,F,75.1,87.8
Stanton Kidd,Uta,F,0,0
Louis King,Det,F,93.2,98.2
Maxi Kleber,Dal,F,123.1,104.6
Brandon Knight,Cle,G,89.4,111.9
Brandon Knight,Det,G,107.2,108.7
Kevin Knox II,Nyk,F,96.6,108.3
John Konchar,Mem,G,143.7,109.4
Furkan Korkmaz,Phi,G,108.2,107
