FULL NAME,TEAM,POS,PPG,RPG
Paul George,Lac,F,20.9,5.9
Taj Gibson,Nyk,F,6.1,4.4
Harry Giles III,Sac,F,7.1,4.1
Shai Gilgeous-Alexander,Okc,G,19.3,6.1
Rudy Gobert,Uta,C,15.4,14.1
Brandon Goodwin,Atl,G,6.2,2.2
Aaron Gordon,Orl,F,14.4,7.5
Eric Gordon,Hou,G,14.5,1.9
Devonte' Graham,Cha,G,17.8,3.4
Treveon Graham,Min,G,5.2,3.1
Treveon Graham,Atl,G,2.9,2.1
Jerami Grant,Den,F,11.6,3.5
Josh Gray,Nor,G,1,1
Danny Green,Lal,G,8.4,3.4
Draymond Green,Gol,F,8,6.2
JaMychal Green,Lac,F,6.4,6.2
Javonte Green,Bos,G,3,1.8
Jeff Green,Uta,F,7.8,2.7
Jeff Green,Hou,F,9,2.4
Blake Griffin,Det,F,15.5,4.7
Marko Guduric,Mem,G,4.3,1.8
Kyle Guy,Sac,G,1,0
Rui Hachimura,Was,F,14,6
Devon Hall,Okc,G,1,0.2
Donta Hall,Det,F,1.7,3.7
Dusty Hannahs,Mem,G,6,0.5
Tim Hardaway Jr.,Dal,G,15.6,3
James Harden,Hou,G,34.6,6.3
Maurice Harkless,Lac,F,5.5,4
Maurice Harkless,Nyk,F,7.3,4
Jared Harper,Pho,G,0.7,0
Montrezl Harrell,Lac,F,18.7,7.1
Gary Harris,Den,G,10.2,3
Joe Harris,Bro,G,13.7,4.4
Shaquille Harrison,Chi,G,4.3,1.6
Tobias Harris,Phi,F,19.4,6.8
Isaiah Hartenstein,Hou,C,4.7,3.9
Josh Hart,Nor,G,10.2,6.4
Udonis Haslem,Mia,F,1.7,2.7
Jaxson Hayes,Nor,C,7.5,4
Gordon Hayward,Bos,F,16.9,6.5
John Henson,Cle,F,5,3.9
John Henson,Det,F,7.1,4.9
Dewan Hernandez,Tor,C,1,1.8
Juancho Hernangomez,Den,F,3.1,2.8
Juancho Hernangomez,Min,F,13.8,6.9
Willy Hernangomez,Cha,C,6.2,4.1
Tyler Herro,Mia,G,13.1,4
Kevin Hervey,Okc,F,0.3,0.3
Mario Hezonja,Por,F,4.5,3.5
Buddy Hield,Sac,G,19.9,4.8
George Hill,Mil,G,9.7,3
Solomon Hill,Mem,F,5.7,3
Solomon Hill,Mia,F,1.7,1
Jaylen Hoard,Por,F,2.9,2.5
Aaron Holiday,Ind,G,9.6,2.3
Jrue Holiday,Nor,G,19.2,4.8
Justin Holiday,Ind,F,8.3,3.2
Rondae Hollis-Jefferson,Tor,F,7.3,4.9
Richaun Holmes,Sac,F,13.1,8.5
Rodney Hood,Por,G,11,3.4
Al Horford,Phi,C,11.7,6.8
Talen Horton-Tucker,Lal,G,0,0
Danuel House Jr.,Hou,F,10.5,4.4
Dwight Howard,Lal,C,7.8,7.6
William Howard,Hou,F,0,1
Kevin Huerter,Atl,G,12.3,4.2
De'Andre Hunter,Atl,F,12.4,4.3
Chandler Hutchison,Chi,F,7.8,3.9
Serge Ibaka,Tor,F,15.8,8.1
Andre Iguodala,Mia,G,4.3,3.8
Ersan Ilyasova,Mil,F,7,4.9
Joe Ingles,Uta,F,9.7,4
Brandon Ingram,Nor,F,24.6,6.1
Kyrie Irving,Bro,G,27.4,5.2
Jonathan Isaac,Orl,F,12,6.9
Wes Iwundu,Orl,F,5.1,2.5
Jaren Jackson Jr.,Mem,F,16.9,4.7
Frank Jackson,Nor,G,5.7,1.3
Josh Jackson,Mem,G,9.3,3.4
Justin Jackson,Dal,F,5.7,2.4
Reggie Jackson,Det,G,14.9,2.9
Reggie Jackson,Lac,G,8.7,3.3
Justin James,Sac,G,2.7,0.9
LeBron James,Lal,F,25.4,7.8
Amile Jefferson,Orl,F,0.8,1.3
DaQuan Jeffries,Sac,G,1.2,0.2
Ty Jerome,Pho,G,3.6,1.6
Alize Johnson,Ind,F,1.4,1.5
BJ Johnson,Orl,F,1.6,0.8
Cameron Johnson,Pho,F,8.1,2.9
James Johnson,Mia,F,5.7,2.9
James Johnson,Min,F,11.6,4.8
Keldon Johnson,San,F,3.3,1
Stanley Johnson,Tor,F,1.2,1.1
Tyler Johnson,Pho,G,5.7,1.7
Nikola Jokic,Den,C,20.7,10.2
Derrick Jones Jr.,Mia,F,8.8,4.1
Damian Jones,Atl,C,5.7,3.8
Tyus Jones,Mem,G,7.4,1.6
DeAndre Jordan,Bro,C,8.2,9.9
Cory Joseph,Sac,G,6.4,2.6
Mfiondu Kabengele,Lac,F,3.5,0.9
Frank Kaminsky,Pho,F,11,4.9
Enes Kanter,Bos,C,8.6,8
Luke Kennard,Det,G,15.8,3.5
Michael Kidd-Gilchrist,Cha,F,4,2.9
Michael Kidd-Gilchrist,Dal,F,0.5,2
Stanton Kidd,Uta,F,0,0.8
Louis King,Det,F,2,1
Maxi Kleber,Dal,F,9.1,5.5
Brandon Knight,Cle,G,4.9,1.3
Brandon Knight,Det,G,12.1,1.7
Kevin Knox II,Nyk,F,6.5,2.8
John Konchar,Mem,G,3.4,2.6
Furkan Korkmaz,Phi,G,9.7,2.3
Luke Kornet,Chi,C,6,2.3
Kyle Korver,Mil,G,6.4,2.1
Rodions Kurucs,Bro,F,4.2,2.5
Kyle Kuzma,Lal,F,12.6,4.3
Skal Labissiere,Por,F,5.8,5.1
Jeremy Lamb,Ind,G,12.5,4.3
Romeo Langford,Bos,G,2.6,1.1
Zach LaVine,Chi,G,25.5,4.8
Vic Law,Orl,F,0,0.3
Jake Layman,Min,F,8.8,2.6
TJ Leaf,Ind,F,2.9,2.5
Jalen Lecque,Pho,G,2.5,0
Courtney Lee,Dal,G,3.9,1.2
Damion Lee,Gol,G,12.5,4.9
Alex Len,Atl,C,8.7,5.8
Alex Len,Sac,C,6.3,7.6
Kawhi Leonard,Lac,F,26.9,7.5
Meyers Leonard,Mia,C,6.1,5
Caris LeVert,Bro,G,17.2,3.8
Damian Lillard,Por,G,29.4,4.3
Nassir Little,Por,F,3.6,2.3
Kevon Looney,Gol,F,3.4,3.3
Brook Lopez,Mil,C,10.8,4.5
Robin Lopez,Mil,C,5.5,2.4
Kevin Love,Cle,F,17.5,9.7
Kyle Lowry,Tor,G,19.5,4.8
Timothe Luwawu-Cabarrot,Bro,G,5.9,2.4
Trey Lyles,San,F,6,5.7
Daryl Macon,Mia,G,0.8,0
J.P. Macura,Cle,G,0,0
Josh Magette,Orl,G,1.5,0.8
Ian Mahinmi,Was,C,7.4,5.8
Thon Maker,Det,F,4.6,2.8
Terance Mann,Lac,G,1.6,0.9
Boban Marjanovic,Dal,C,6,4.2
Lauri Markkanen,Chi,F,15,6.4
Caleb Martin,Cha,F,4.2,2.1
Cody Martin,Cha,F,4.8,3.2
Jeremiah Martin,Bro,G,1,0.5
Kelan Martin,Min,F,6.5,3.2
Frank Mason,Mil,G,1,0.8
Garrison Mathews,Was,G,5.8,1.4
Wesley Matthews,Mil,G,7.6,2.6
Patrick McCaw,Tor,G,4.7,2.2
CJ McCollum,Por,G,22.5,4.1
T.J. McConnell,Ind,G,6.5,2.7
Jalen McDaniels,Cha,F,5.3,4.1
Doug McDermott,Ind,F,10.4,2.5
JaVale McGee,Lal,C,6.9,5.8
Rodney McGruder,Lac,G,3.2,2.6
Alfonzo McKinnie,Cle,F,4.3,2.8
Jordan McLaughlin,Min,G,7.6,1.6
Ben McLemore,Hou,G,10,2.2
Jordan McRae,Was,G,12.8,3.6
Jordan McRae,Den,G,2.3,1.3
Jordan McRae,Det,G,15,2
Nicolo Melli,Nor,F,6.7,3
De'Anthony Melton,Mem,G,8.2,3.7
Chimezie Metu,San,F,2.9,1.6
Khris Middleton,Mil,F,20.9,6.3
Eric Mika,Sac,C,6,7
CJ Miles,Was,G,6.4,1.2
Malcolm Miller,Tor,G,0.9,0.6
Paul Millsap,Den,F,11.9,5.9
Patty Mills,San,G,11.8,1.6
Shake Milton,Phi,G,9.2,2.2
Donovan Mitchell,Uta,G,24.6,4.4
Naz Mitrou-Long,Ind,G,4.7,2
Adam Mokoka,Chi,G,2.9,0.9
Malik Monk,Cha,G,10.3,2.9
Matt Mooney,Cle,G,0.7,0.3
E'Twaun Moore,Nor,G,8.7,2.4
Ja Morant,Mem,G,17.6,3.5
Juwan Morgan,Uta,F,1.2,1.2
Marcus Morris Sr.,Nyk,F,19.6,5.4
Marcus Morris Sr.,Lac,F,10.4,3.8
Markieff Morris,Det,F,11,3.9
Markieff Morris,Lal,F,5.8,2.6
Monte Morris,Den,G,8.6,1.8
Johnathan Motley,Lac,F,2.2,0.8
Emmanuel Mudiay,Uta,G,7.3,2.4
Mychal Mulder,Gol,G,11.2,3.6
Dejounte Murray,San,G,10.6,5.8
Jamal Murray,Den,G,18.7,3.9
Dzanan Musa,Bro,G,4.2,2
Mike Muscala,Okc,F,4.7,2.3
Svi Mykhailiuk,Det,G,9,1.7
Abdel Nader,Okc,F,5.9,1.8
Larry Nance Jr.,Cle,F,9.8,7.4
Shabazz Napier,Min,G,9.6,3.1
Shabazz Napier,Was,G,10.3,2.3
Raul Neto,Phi,G,4.2,1.1
